SHELT_NB,shelter_id,site_id,site_on,site_at,CORN_DESC,CITY,bustop_yn,OWNER,shelter_manufacturer_id,shel_type,shelter_type_description,RT_CD,has_heat,has_light,has_solar,has_adpanel
M-6010,3137,56118,SNELLING,MINNEHAHA STATION,FAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6012,3139,56119,SNELLING,COMO STATION,FAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6013,3140,56120,SNELLING,NEBRASKA STATION,NEAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6016,3141,56121,SNELLING,HOYT STATION,FAR SIDE  S,FALCON HEIGHTS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6018,3143,56122,SNELLING,UNIVERSITY STATION,MID BLOCK  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6021,3146,56123,SNELLING,RANDOLPH STATION,FAR SIDE  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6023,3148,56124,FORD,FAIRVIEW  STATION,FAR SIDE  W,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6024,3149,56125,FORD,KENNETH STATION,NEAR SIDE  W,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6025,3150,56126,FORD,FINN STATION,FAR SIDE  W,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6026,3151,56127,FORD,WOODLAWN STATION,NEAR SIDE  W,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6027,3152,56128,46TH ST,46TH AVE STATION,FAR SIDE  W,MINNEAPOLIS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6029,3264,56317,7TH ST N,OLSON MEMORIAL HWY,FAR SIDE  S,MINNEAPOLIS,Y,METRO,,BRT,Station,,N,N,N,N
M-5,214,34,CHICAGO AVE S,8TH ST S,FAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,Y,Y,N
M-5203,3070,39,CHICAGO AVE S,17TH ST E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-5205,3072,40,CHICAGO AVE S,18TH ST E,FAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-762,589,42,CHICAGO AVE S,FRANKLIN AVE E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-5218,3081,43,CHICAGO AVE S,22ND ST E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-563,546,44,CHICAGO AVE S,24TH ST E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,Y,N,N
M-2063,3073,57,CHICAGO AVE S,38TH ST E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-606,567,162,BRYANT AVE S,37TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-1591,282,163,BRYANT AVE S,36TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-W,Y,Y,N,N
M-589,559,168,BRYANT AVE S,31ST ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,Y,N,N
M-274,85,170,LYNDALE AVE S,LAKE ST W,FAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,Y,N,N
M-2079,1436,172,LYNDALE AVE S,27TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-712,156,173,LYNDALE AVE S,26TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-66,3103,175,LYNDALE AVE S,24TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-268,458,177,LYNDALE AVE S,FRANKLIN AVE W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,Y,N,N
M-2633,2789,258,ROBERT ST S,EMERSON AVE,NEAR SIDE  N,WEST SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,N,N,N
M-44,51,261,ROBERT ST S,ORME ST,NEAR SIDE  N,WEST SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,Y,N,N
M-229,71,285,HUMBOLDT AVE,ROBIE ST,ACROSS FROM  N,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,STP,N,N,N,N
M-2806,2790,331,ROBERT ST S,EMERSON AVE,NEAR SIDE  S,WEST SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,N,N,N
M-7050,3776,426,ROBERT ST S,WENTWORTH AVE,NEAR SIDE  N,WEST SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,Y,N,N
M-2479,2706,436,PORTLAND AVE S,66TH ST E,NEAR SIDE  S,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-820,612,542,VERNON AVE,EDEN AVE,FAR SIDE  E,EDINA,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1907,333,620,PORTLAND AVE S,77TH ST E,FAR SIDE  N,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-2480,2707,643,PORTLAND AVE S,66TH ST E,NEAR SIDE  N,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-2159,2128,704,12TH AVE S,77TH ST E,NEAR SIDE  N,RICHFIELD,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,Y,N,N
M-838,617,724,66TH ST E,12TH AVE S,FAR SIDE  W,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-113,403,737,PORTLAND AVE S,60TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-409,103,775,CHICAGO AVE S,56TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-105,57,786,CHICAGO AVE S,46TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,CO,C,6 X 12 with windscreen,SE,N,N,N,N
M-2012,1353,791,CHICAGO AVE S,41ST ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-2061,1351,793,CHICAGO AVE S,39TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-1809,332,794,CHICAGO AVE S,38TH ST E,FAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
